sciname,lat,lon,source
Ctenomys dorbignyi,-30.22,-59.56,"Mammals of South America, Volume 2, Rodentia"
Ctenomys dorbignyi,-32.45,-58.20,"Mammals of South America, Volume 2, Rodentia"
Ctenomys flamarioni,-29.78,-50.02,Mamíferos do Rio Grande do Sul
Ctenomys flamarioni,-29.82,-50.03,Mamíferos do Rio Grande do Sul
Ctenomys flamarioni,-29.92,-50.10,Mamíferos do Rio Grande do Sul
Ctenomys flamarioni,-30.30,-50.25,Mamíferos do Rio Grande do Sul
Ctenomys flamarioni,-30.97,-50.67,Mamíferos do Rio Grande do Sul
Ctenomys flamarioni,-31.65,-51.37,Mamíferos do Rio Grande do Sul
Ctenomys flamarioni,-32.05,-51.98,Mamíferos do Rio Grande do Sul
Ctenomys flamarioni,-32.15,-52.10,Mamíferos do Rio Grande do Sul
Ctenomys flamarioni,-32.72,-52.43,Mamíferos do Rio Grande do Sul
Ctenomys flamarioni,-32.75,-52.50,Mamíferos do Rio Grande do Sul
Ctenomys flamarioni,-33.17,-53.00,Mamíferos do Rio Grande do Sul
Ctenomys flamarioni,-33.73,-53.37,Mamíferos do Rio Grande do Sul
Ctenomys flamarioni,-28.95,-49.38,"Mammals of South America, Volume 2, Rodentia"
Ctenomys flamarioni,-29.98,-50.13,"Mammals of South America, Volume 2, Rodentia"
Ctenomys flamarioni,-30.18,-50.21,"Mammals of South America, Volume 2, Rodentia"
Ctenomys flamarioni,-31.30,-51.00,"Mammals of South America, Volume 2, Rodentia"
Ctenomys flamarioni,-32.87,-52.53,"Mammals of South America, Volume 2, Rodentia"
Ctenomys flamarioni,-33.65,-53.28,"Mammals of South America, Volume 2, Rodentia"
Ctenomys ibicuiensis,-29.13,-55.40,"Mammals of South America, Volume 2, Rodentia"
Ctenomys ibicuiensis,-29.39,-55.43,"Mammals of South America, Volume 2, Rodentia"
Ctenomys ibicuiensis,-29.40,-55.58,"Mammals of South America, Volume 2, Rodentia"
Ctenomys lami,-29.92,-50.42,Mamíferos do Rio Grande do Sul
Ctenomys lami,-29.93,-50.52,Mamíferos do Rio Grande do Sul
Ctenomys lami,-29.97,-50.60,Mamíferos do Rio Grande do Sul
Ctenomys lami,-30.08,-50.93,Mamíferos do Rio Grande do Sul
Ctenomys lami,-30.13,-50.85,Mamíferos do Rio Grande do Sul
Ctenomys lami,-30.18,-50.85,Mamíferos do Rio Grande do Sul
Ctenomys lami,-30.22,-50.97,Mamíferos do Rio Grande do Sul
Ctenomys lami,-30.22,-50.93,Mamíferos do Rio Grande do Sul
Ctenomys lami,-30.23,-51.12,Mamíferos do Rio Grande do Sul
Ctenomys lami,-30.23,-51.13,Mamíferos do Rio Grande do Sul
Ctenomys lami,-30.27,-50.92,Mamíferos do Rio Grande do Sul
